trial,aux_coef,div_coef,best_val_loss,expert_js_sep,objective
10,0.005,0.001,1.5861802101135254,0.1267276614980474,1.5228163793645018
8,0.005,0.0001,1.5857442617416382,0.11965051038813797,1.5259190065475692
1,0.001,0.0,1.5890854597091675,0.11999872403875216,1.5290860976897913
4,0.001,0.0005,1.5846964120864868,0.10929031344804901,1.5300512553624623
5,0.001,0.001,1.5849779844284058,0.10673254834319719,1.5316117102568072
6,0.005,0.0,1.5910028219223022,0.11520215695121129,1.5334017434466967
7,0.005,1e-05,1.5858792066574097,0.10226664149163038,1.5347458859115946
2,0.001,1e-05,1.5917048454284668,0.10691044345230366,1.5382496237023149
9,0.005,0.0005,1.589439034461975,0.10042853119520045,1.5392247688643748
3,0.001,0.0001,1.5871533155441284,0.08984749034964175,1.5422295703693076
